sensor_type,device_type,timestamps,x,y,z
bmi160_accelerometer,smartphone,1497147986312,-2.1746778,-2.7111623,9.814791
bmi160_accelerometer,smartphone,1497147986314,-2.2704787,-2.823728,9.208851
bmi160_accelerometer,smartphone,1497147986316,-2.3614893,-2.9219239,8.705896
bmi160_accelerometer,smartphone,1497147986319,-2.4453151,-3.0368848,8.341853
bmi160_accelerometer,smartphone,1497147986321,-2.3878345,-3.166216,8.023315
bmi160_accelerometer,smartphone,1497147986324,-2.4093897,-3.288362,7.7071733
bmi160_accelerometer,smartphone,1497147986326,-2.304009,-3.3889527,7.6520877
bmi160_accelerometer,smartphone,1497147986329,-2.1339624,-3.4847536,7.671248
bmi160_accelerometer,smartphone,1497147986332,-1.7962648,-3.427273,7.5323367
bmi160_accelerometer,smartphone,1497147986334,-1.5639478,-3.4368532,7.5012016
bmi160_accelerometer,smartphone,1497147986336,-1.0681788,-3.4679885,7.5203614
bmi160_accelerometer,smartphone,1497147986339,-0.6825806,-3.6212697,7.472461
bmi160_accelerometer,smartphone,1497147986341,-0.3879932,-3.7098854,7.4676714
bmi160_accelerometer,smartphone,1497147986344,-0.098195806,-3.8559816,7.3838453
bmi160_accelerometer,smartphone,1497147986346,0.083825685,-3.911067,7.429351
bmi160_accelerometer,smartphone,1497147986349,0.17004639,-3.8895118,7.436536
bmi160_accelerometer,smartphone,1497147986352,0.07903565,-3.8655617,7.6329274
bmi160_accelerometer,smartphone,1497147986354,0.16286133,-3.8056862,7.8532696
bmi160_accelerometer,smartphone,1497147986357,-0.0047900393,-3.6763551,7.8700347
bmi160_accelerometer,smartphone,1497147986359,0.047900394,-3.7577858,8.013736
bmi160_accelerometer,smartphone,1497147986362,0.14130616,-3.8200562,8.298743
bmi160_accelerometer,smartphone,1497147986364,0.2921924,-3.8847218,8.377779
bmi160_accelerometer,smartphone,1497147986366,0.33530274,-3.9733377,8.514295
bmi160_accelerometer,smartphone,1497147986369,0.33530274,-4.016448,8.583751
bmi160_accelerometer,smartphone,1497147986372,0.5891748,-4.0811133,8.617281
bmi160_accelerometer,smartphone,1497147986374,0.8909473,-4.174519,8.562195
bmi160_accelerometer,smartphone,1497147986377,1.1208692,-4.3278003,8.382568
bmi160_accelerometer,smartphone,1497147986379,1.5519727,-4.390071,8.344249
bmi160_accelerometer,smartphone,1497147986381,1.829795,-4.5792775,8.102351
bmi160_accelerometer,smartphone,1497147986384,2.1363575,-4.7397437,7.8365045
bmi160_accelerometer,smartphone,1497147986387,2.5291407,-4.9576907,7.5467067
bmi160_accelerometer,smartphone,1497147986389,2.818938,-5.149292,7.2569094
bmi160_accelerometer,smartphone,1497147986391,3.1350808,-5.3121533,6.935977
bmi160_accelerometer,smartphone,1497147986394,3.5901344,-5.376819,6.696475
bmi160_accelerometer,smartphone,1497147986397,4.184099,-5.4534597,6.473738
bmi160_accelerometer,smartphone,1497147986399,4.7469287,-5.5588408,6.464158
bmi160_accelerometer,smartphone,1497147986402,5.4175344,-5.5229154,6.119275
bmi160_accelerometer,smartphone,1497147986404,6.09293,-5.6354814,5.9156985
bmi160_accelerometer,smartphone,1497147986407,6.72761,-5.582791,5.6785917
bmi160_accelerometer,smartphone,1497147986409,7.230564,-5.407954,5.52052
bmi160_accelerometer,smartphone,1497147986412,7.879615,-5.1564775,5.6450615
bmi160_accelerometer,smartphone,1497147986414,8.466394,-5.118157,5.4750147
bmi160_accelerometer,smartphone,1497147986416,9.034014,-5.1732426,4.9576907
bmi160_accelerometer,smartphone,1497147986419,9.766891,-5.113367,4.8163843
bmi160_accelerometer,smartphone,1497147986422,10.346485,-5.137317,4.2918754
bmi160_accelerometer,smartphone,1497147986424,10.98356,-5.0894165,4.3014555
bmi160_accelerometer,smartphone,1497147986427,11.644586,-4.902605,3.999683
bmi160_accelerometer,smartphone,1497147986429,12.279265,-4.775669,3.781736
bmi160_accelerometer,smartphone,1497147986432,12.916341,-4.670288,3.403323
bmi160_accelerometer,smartphone,1497147986434,13.282779,-4.514612,3.295547
bmi160_accelerometer,smartphone,1497147986436,13.689932,-4.3301954,2.9674294
bmi160_accelerometer,smartphone,1497147986439,13.893509,-4.2152348,2.579436
bmi160_accelerometer,smartphone,1497147986441,14.06595,-3.9302273,2.2968237
bmi160_accelerometer,smartphone,1497147986444,14.216837,-3.6092947,1.8896705
bmi160_accelerometer,smartphone,1497147986446,14.238392,-3.4440382,1.6453785
bmi160_accelerometer,smartphone,1497147986450,14.267132,-3.159031,1.4346168
bmi160_accelerometer,smartphone,1497147986452,14.530584,-3.05844,1.22625
bmi160_accelerometer,smartphone,1497147986454,14.873072,-2.7806177,0.8885523
bmi160_accelerometer,smartphone,1497147986457,15.119759,-2.675237,0.62510014
bmi160_accelerometer,smartphone,1497147986459,15.378421,-2.4453151,0.49337405
bmi160_accelerometer,smartphone,1497147986461,15.629898,-2.2177882,0.23710695
bmi160_accelerometer,smartphone,1497147986464,15.998732,-2.0046315,0.040715333
bmi160_accelerometer,smartphone,1497147986466,16.140038,-1.7435743,-0.2682422
bmi160_accelerometer,smartphone,1497147986469,16.38912,-1.6046631,-0.6706055
bmi160_accelerometer,smartphone,1497147986471,16.741188,-1.4441968,-1.096919
bmi160_accelerometer,smartphone,1497147986475,16.959133,-1.3172607,-1.4274317
bmi160_accelerometer,smartphone,1497147986477,17.1196,-1.0657837,-1.9327809
bmi160_accelerometer,smartphone,1497147986479,17.361498,-0.86939216,-2.5818312
bmi160_accelerometer,smartphone,1497147986482,17.610579,-0.62989014,-2.9650342
bmi160_accelerometer,smartphone,1497147986484,17.883612,-0.39278322,-3.527864
bmi160_accelerometer,smartphone,1497147986487,18.266815,-0.2921924,-3.8775368
bmi160_accelerometer,smartphone,1497147986489,18.657204,-0.13172609,-4.24637
bmi160_accelerometer,smartphone,1497147986491,18.985321,0.07903565,-4.7636943
