label,x,y,z,timestamp,
18,-0.17217855,-0.6759151,0.6872685,0.20286779,0.5235988,1496906732043
18,-0.17469034,-0.6739319,0.68765426,0.20598713,0.5235988,1496906732048
18,-0.17740588,-0.6718179,0.68803596,0.2092711,0.5235988,1496906732052
18,-0.1802479,-0.66994816,0.68805546,0.21274358,0.5235988,1496906732057
18,-0.18284999,-0.6703043,0.6859719,0.21610308,0.5235988,1496906732063
18,-0.18609408,-0.6675918,0.6865523,0.21985483,0.5235988,1496906732068
18,-0.18934892,-0.6646542,0.68726236,0.22372355,0.5235988,1496906732073
18,-0.19244558,-0.661748,0.6879209,0.22763807,0.5235988,1496906732078
18,-0.19534197,-0.65895945,0.6885004,0.23147596,0.5235988,1496906732082
18,-0.19813712,-0.656252,0.68900454,0.23526087,0.5235988,1496906732088
18,-0.20085533,-0.65367144,0.68941635,0.23890555,0.5235988,1496906732093
18,-0.20350508,-0.65121937,0.6897427,0.24239242,0.5235988,1496906732098
18,-0.20613545,-0.648887,0.6899842,0.24571465,0.5235988,1496906732102
18,-0.20886123,-0.6466544,0.6900957,0.24896371,0.5235988,1496906732107
18,-0.21170332,-0.64455026,0.69005144,0.25212246,0.5235988,1496906732112
18,-0.21468753,-0.6425897,0.68985134,0.25513315,0.5235988,1496906732117
18,-0.21776398,-0.6407757,0.68950546,0.258007,0.5235988,1496906732123
18,-0.22096336,-0.6390344,0.6890359,0.26084435,0.5235988,1496906732128
18,-0.2242145,-0.63744015,0.68844426,0.26351935,0.5235988,1496906732133
18,-0.227412,-0.63598675,0.68779254,0.26598132,0.5235988,1496906732137
18,-0.23045507,-0.63471437,0.68710846,0.26816067,0.5235988,1496906732143
18,-0.23336305,-0.6336362,0.6863261,0.27019143,0.5235988,1496906732148
18,-0.23609044,-0.63270277,0.68548995,0.27212515,0.5235988,1496906732153
18,-0.23863448,-0.63192594,0.68459624,0.27395472,0.5235988,1496906732158
18,-0.24091057,-0.6313078,0.6836916,0.27564168,0.5235988,1496906732162
18,-0.24310134,-0.6307662,0.68272734,0.2773429,0.5235988,1496906732167
18,-0.24522115,-0.630318,0.68168,0.27906662,0.5235988,1496906732172
18,-0.24733229,-0.6313565,0.67939377,0.280428,0.5235988,1496906732178
18,-0.24977325,-0.63410527,0.67580473,0.28073433,0.5235988,1496906732182
18,-0.25230297,-0.63470066,0.67376983,0.2820151,0.5235988,1496906732187
18,-0.25483438,-0.63448936,0.6722258,0.28389293,0.5235988,1496906732192
18,-0.25739595,-0.6341144,0.67069894,0.2860231,0.5235988,1496906732197
18,-0.25997946,-0.6339433,0.6689714,0.28810373,0.5235988,1496906732203
18,-0.26270404,-0.63397515,0.6669588,0.29022068,0.5235988,1496906732208
18,-0.26549482,-0.63426304,0.6646925,0.29224437,0.5235988,1496906732213
18,-0.26832312,-0.6348598,0.6621664,0.29409412,0.5235988,1496906732218
18,-0.27112973,-0.6358479,0.6593653,0.29567456,0.5235988,1496906732222
18,-0.2739467,-0.6372763,0.65621895,0.29699975,0.5235988,1496906732227
18,-0.2766728,-0.6392075,0.65275705,0.29795,0.5235988,1496906732232
18,-0.27926406,-0.64165986,0.6490128,0.2984403,0.5235988,1496906732237
18,-0.28168973,-0.64463687,0.64503175,0.298376,0.5235988,1496906732243
18,-0.28396735,-0.6480779,0.6408215,0.29783446,0.5235988,1496906732248
18,-0.28601873,-0.65202385,0.6364245,0.29668522,0.5235988,1496906732253
18,-0.2878211,-0.6564618,0.6318595,0.29490772,0.5235988,1496906732258
18,-0.28928572,-0.6614523,0.6271235,0.2924223,0.5235988,1496906732263
18,-0.29047862,-0.6669189,0.6221815,0.28936422,0.5235988,1496906732267
18,-0.29137394,-0.6728292,0.61706686,0.28571066,0.5235988,1496906732272
18,-0.2920075,-0.6790918,0.6118171,0.2815061,0.5235988,1496906732277
