,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,acc_phone_x_kalman,acc_phone_y_kalman,acc_phone_z_kalman,gyr_phone_x_kalman,gyr_phone_y_kalman,gyr_phone_z_kalman,rotation_phone_x_kalman,rotation_phone_y_kalman
2017-06-25 00:23:33.841,8.915580265,-0.437330553,-3.4094302335,-0.9338165475,0.66539951745,2.01531035,-0.353186738,-0.68536099,-0.0887729638,0.63042992,2.0943952,1,0,0,7.46861943828,-0.317475264945,-2.20080610807,-0.746470435245,0.4140777992,1.80323185437,-0.339252751822,-0.691643761928
2017-06-25 00:23:33.891,5.883126225,-10.21871053,-0.21136045,-2.38285324,3.291169615,3.53328795,-0.423576839,-0.628587104,-0.0865326707,0.645340886,2.0943952,1,0,0,6.77801776674,-5.30155186662,-1.13813043692,-2.03811158888,2.3883942154,3.08794776195,-0.395862243018,-0.648962643184
2017-06-25 00:23:33.941,15.433147325,-9.96567673,2.7910361275,-1.1953128495,2.00711197138,1.860446175,-0.495892942,-0.526096773,-0.1163031382,0.68061074,2.0943952,1,0,0,10.5479785023,-7.64937534577,0.960660103131,-1.37286779468,2.12675096129,2.17642199066,-0.463016097184,-0.56579846417
2017-06-25 00:23:33.991,8.71976233368,-5.84687317737,-0.0775229836842,1.0628079076,0.3746232825,0.24754842,-0.497724737,-0.511227894,-0.0997226625,0.693454811,2.0943952,1,0,0,9.75165289185,-6.74203320325,0.406107678592,0.54967680844,0.924406862082,0.744066995643,-0.486317136533,-0.528861312725
2017-06-25 00:23:34.041,7.19008828,-1.702379926,2.32077402035,-1.79221136895,-0.421798967737,1.37041239474,-0.508430132,-0.495342406,-0.0954776743,0.697692233,2.0943952,1,0,0,8.63589860197,-4.20517630687,1.42883951238,-1.2988387962,0.000614235338245,1.20918244354,-0.50116230213,-0.506173382518
2017-06-25 00:23:34.091,5.25431375,-5.78421193,0.8402926115,-0.089330373,-0.685735751,3.21733098,-0.563791929,-0.475836511,-0.0611880012,0.671829591,2.0943952,1,0,0,7.16296383467,-5.00003017186,1.11446326923,-0.344141142685,-0.470372481464,2.70040590019,-0.543207604089,-0.48563927976
2017-06-25 00:23:34.141,8.05936084,-9.636361405,1.3646822025,1.64479641619,-0.984210951,,-0.583321803,-0.426113355,0.02622691637,0.689833553,2.0943952,1,0,0,7.5534120872,-7.33386298441,1.24811937948,1.22578093869,-0.822978444376,2.70040590019,-0.570137572058,-0.445347999714
2017-06-25 00:23:34.191,2.392385115,-5.975573955,-1.4421611245,0.315326536368,-0.954889691579,-0.272121141368,-0.591582484,-0.414194048,0.0948846169,0.685133603,2.0943952,1,0,0,5.30539614314,-6.65012849779,-0.188911881596,0.507134700781,-0.913498523574,0.221080101659,-0.58453423269,-0.424260836852
2017-06-25 00:23:34.241,4.679868418,-4.289360365,0.520078529,-0.1673214405,0.7740013985,0.8863830694,-0.593143617,-0.41654073,0.1028001096,0.681117483,2.0943952,1,0,0,5.03293162791,-5.46176687716,0.189800083028,-0.0252317443102,0.244496756905,0.719065554732,-0.590314008498,-0.419035339369
2017-06-25 00:23:34.291,2.5009992465,-6.22465602,0.237106957,-0.89942594085,0.6887702183,1.5896867665,-0.614489129,-0.381637921,0.0969163745,0.683476634,2.0943952,1,0,0,3.9300843942,-5.84578948716,0.215069369168,-0.715256813507,0.549365857786,1.36591805936,-0.606543557495,-0.393722170851
2017-06-25 00:23:34.341,0.8766969085,-3.9825584335,3.5555264285,2.457969508,-1.171250082,,-0.63080313,-0.329006297,0.163647366,0.682156969,2.0943952,1,0,0,2.600104199,-4.90787765821,1.9993968334,1.78945633555,-0.631354279383,1.36591805936,-0.62282978111,-0.349917955443
2017-06-25 00:23:34.391,7.63280777,-17.793199535,-1.8553019699,-0.1545447435,-1.5056267865,1.855495202,-0.619968424,-0.298854933,0.256784865,0.678308557,2.0943952,1,0,0,4.79222557427,-11.3940813673,-0.0596162577033,0.255003797726,-1.23129708481,1.77426992859,-0.620908852724,-0.315354957969
2017-06-25 00:23:34.441,2.332030568,-16.2613452,-2.79726317,-1.13850981,-0.974648724,1.2245395375,-0.639032343,-0.299634125,0.295807515,0.643560281,2.0943952,1,0,0,3.72062537002,-13.8441608556,-1.52194861079,-0.844934164845,-1.05517998135,1.36279122571,-0.633075753874,-0.304714006798
2017-06-25 00:23:34.491,-2.261377523,-14.706498375,-3.635879285,-1.646543055,0.25830214185,-1.1197706495,-0.65754651,-0.31474136,0.291462313,0.619176786,2.0943952,1,0,0,1.11501261471,-14.2782435571,-2.65111878279,-1.47766568243,-0.153842995951,-0.48169805194,-0.649503773401,-0.311501226079
2017-06-25 00:23:34.541,-0.932620646,-10.136202145,-3.46343792,-2.14510023,0.224390667,-1.56557076,-0.677872223,-0.348632769,0.24368887,0.599296712,2.0943952,1,0,0,0.22311413365,-12.1932256991,-3.08502453136,-2.0044897022,0.105708302191,-1.28659513113,-0.668548445944,-0.336634447544
2017-06-25 00:23:34.591,-4.0920107645,-9.19376175,2.372147203,-2.210953465,-0.4789662724,-0.40118815625,-0.703153467,-0.377899263,0.211145234,0.563834091,2.0943952,1,0,0,-1.65644780081,-10.6833578136,-0.170039770982,-2.16745713185,-0.295506757546,-0.629102568654,-0.691779935629,-0.364565343734
2017-06-25 00:23:34.641,-0.0973575534,-9.17340415,-1.788480927,-1.512600715,0.0002661845,0.08581678615,-0.725231623,-0.392835888,0.201671993,0.52814683,2.0943952,1,0,0,-0.977346592292,-9.92327825926,-1.0345408879,-1.6505612377,-0.0925416123401,-0.0982132044985,-0.714237155302,-0.383700813573
2017-06-25 00:23:34.691,0.9507030375,-6.382487795,-0.942320477,-0.846562381,0.528848606,-0.04498460572,-0.742154155,-0.393896719,0.184915653,0.50971206,2.0943952,1,0,0,-0.137535792602,-8.14091778807,-0.985280734187,-1.01594323568,0.333868428623,-0.0586863781047,-0.732978760556,-0.390602118491
2017-06-25 00:23:34.741,1.593406575,-4.266008975,-0.6541996205,-0.2251359762,0.7142171375,-0.01618381077,-0.751068797,-0.388130064,0.166575895,0.507418575,2.0943952,1,0,0,0.616419949394,-6.19036902157,-0.808431537213,-0.391737718526,0.594871102266,-0.0271245556334,-0.745123171507,-0.388928863218
2017-06-25 00:23:34.791,1.578317935,-2.40855149,-0.614083037,0.3261783195,0.19106479435,0.003087701,-0.752285395,-0.3816887,0.157404837,0.513415142,2.0943952,1,0,0,1.03539893399,-4.28668051795,-0.704618996802,0.174932788391,0.317771357247,-0.00468934923234,-0.749931421934,-0.384028226412
2017-06-25 00:23:34.841,2.98155989,-3.205494335,-0.869990882,0.9276943805,-0.6227573065,0.2744859495,-0.744116406,-0.380360932,0.170580298,0.521963282,2.0943952,1,0,0,1.88309862998,-3.74243385898,-0.792953494528,0.769107837489,-0.327637710051,0.202622386224,-0.746027626142,-0.381545945781
