,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking
2017-06-25 00:28:15.391,1.8179396335,-4.3980942850000009,0.69395694050000001,-0.950266529,-0.03918185773,0.3261783208,0.222967641,-0.794025724,0.522581007,0.216016725,0.5235988,0,1,0
2017-06-25 00:28:15.441,0.50235536629999999,-2.3731052000000004,-0.24704628150000002,0.09774169986,-0.15875040835,1.01542767,0.209179017,-0.804133379,0.516111653,0.207815477,0.5235988,0,1,0
2017-06-25 00:28:15.491,3.7564685499999997,-3.4379309849999999,-2.6488917100000005,1.3779130995,0.374836228935,1.385259695,0.186925737,-0.8011686,0.536153599,0.188488119,0.5235988,0,1,0
2017-06-25 00:28:15.541,10.284812990000001,-11.960129200000001,-7.8113566350000001,1.658467941,1.81418392,0.52065023525,0.158704968,-0.776298468,0.580316761,0.187183625,0.5235988,0,1,0
2017-06-25 00:28:15.591,8.9253998749999983,-8.8043316549999986,-8.7378698100000012,-0.05994398275,1.056366322,-0.522034376,0.139887057,-0.757453574,0.599195654,0.218137092,0.5235988,0,1,0
2017-06-25 00:28:15.641,3.4105079761904769,-15.452096476190476,-5.6594314571428566,-0.3880666988,1.15684842333,-0.0200269611429,0.132831462,-0.752963412,0.598147356,0.239865384,0.5235988,0,1,0
2017-06-25 00:28:15.691,3.2363017705263162,-8.5710189789473699,1.2852431568421052,-0.859552011,1.6849263775,-1.174284557,0.1165101429,-0.757299764,0.582190196,0.27152691,0.5235988,0,1,0
2017-06-25 00:28:15.741,-5.8286794380952376,-3.5239862714285706,4.1294700619047617,0.49813131315,2.35777897,0.2832699395,0.091094161,-0.737476831,0.582776633,0.328334297,0.5235988,0,1,0
2017-06-25 00:28:15.791,3.3402141465000001,-14.187257980000002,2.2768253980000002,0.2271589531,1.41789349,1.35928041,0.0475805862,-0.717517722,0.605115626,0.341376289,0.5235988,0,1,0
2017-06-25 00:28:15.841,4.2981022700000002,-10.02555207,1.698308419,0.22476332075,2.265094675,0.7749596515,0.002638985041,-0.69989403,0.619021741,0.355862502,0.5235988,0,1,0
2017-06-25 00:28:15.891,2.1886887064999998,-7.0839890349999992,3.2257321550000002,0.589910557,2.20728018,1.134836515,-0.0452987741,-0.671350649,0.634535365,0.37982695,0.5235988,0,1,0
2017-06-25 00:28:15.941,4.2818161049999999,-10.044352974999999,2.70529442,0.016556465935,2.79048294,0.5572235145,-0.0963072699,-0.639398389,0.644449872,0.407632853,0.5235988,0,1,0
2017-06-25 00:28:15.991,4.7350735750000004,-8.0028383749999996,2.292991759,-0.32186618645,2.434758565,0.3668507955,-0.145751277,-0.613986738,0.636680108,0.442855665,0.5235988,0,1,0
2017-06-25 00:28:16.041,3.3753011649999998,-7.7142385499999993,3.0101804099999994,-0.1463463687,2.203819825,0.1590165893,-0.18393622,-0.586160422,0.628626261,0.476607619,0.5235988,0,1,0
2017-06-25 00:28:16.091,4.6395122799999999,-9.216993575,2.1976700000000005,-0.372334122,1.869283415,0.038330078875,-0.217187928,-0.567731445,0.614025523,0.503283026,0.5235988,0,1,0
2017-06-25 00:28:16.141,2.3955238315789473,-9.0440982368421068,1.6806735052631578,-0.347044118421,1.71471064211,0.0662931036316,-0.249284247,-0.550013293,0.599144991,0.525555527,0.5235988,0,1,0
2017-06-25 00:28:16.191,3.29159523,-8.6723659999999985,1.4600039814999997,-0.4492604655,1.57233176,0.2253489205,-0.280825717,-0.534609321,0.583322016,0.543079973,0.5235988,0,1,0
2017-06-25 00:28:16.241,4.2009841449999996,-9.5049948000000004,0.040595587000000037,-0.435046397,1.461174545,0.321653241,-0.309576228,-0.526148576,0.564593988,0.5553758,0.5235988,0,1,0
2017-06-25 00:28:16.291,5.6100939850000007,-11.566507675,-0.58414528049999981,-0.4363772935,1.442115975,0.146931968665,-0.339406213,-0.509204575,0.550768102,0.567489304,0.5235988,0,1,0
2017-06-25 00:28:16.341,6.0914929549999997,-12.568584075,-0.92890837099999979,-1.003822168,0.7202860645,-0.5944888685,-0.36212022,-0.504239139,0.529968155,0.577624727,0.5235988,0,1,0
2017-06-25 00:28:16.391,3.4899028650000004,-12.791201125000001,-3.3565002600000007,-1.64941783,0.919549238,-1.4955119,-0.377415134,-0.520053018,0.490863247,0.588097462,0.5235988,0,1,0
2017-06-25 00:28:16.441,2.5457861450000001,-12.107422975000002,-0.86065030440000001,-1.687481705,1.43216078,-2.05662165,-0.393145028,-0.540709005,0.428091073,0.607715051,0.5235988,0,1,0
2017-06-25 00:28:16.491,1.0645862255,-11.76541415,1.8889520115000002,-1.39691843,-0.1063127404,-1.740345265,-0.399423256,-0.5610622,0.36887414,0.62397184,0.5235988,0,1,0
2017-06-25 00:28:16.541,2.3173012699999997,-10.906200849999999,-2.97174037,-1.96707836,-0.623449374,-1.853259305,-0.393129374,-0.601458424,0.324798836,0.614656615,0.5235988,0,1,0
2017-06-25 00:28:16.591,1.6260985880000001,-7.9477529049999998,-1.857696995,-2.1323768,0.18313259495,-1.670712305,-0.398928581,-0.637058186,0.267692118,0.602483545,0.5235988,0,1,0
2017-06-25 00:28:16.641,2.1561163854499998,-7.4570133749999998,-0.57588246725000003,-1.84745656,-1.08745627615,-1.323878325,-0.404226609,-0.666403769,0.217063763,0.587417196,0.5235988,0,1,0
2017-06-25 00:28:16.691,3.9473516050000002,-6.6720456949999996,-1.5059883414999999,-1.86582306,-1.5344808,-0.890429008,-0.402690027,-0.709553662,0.183493369,0.548056036,0.5235988,0,1,0
2017-06-25 00:28:16.741,1.0147698305000001,-3.3675173199999997,-0.96136088100000028,-1.343948385,-1.57052172,-0.087573583175,-0.409525666,-0.741944473,0.162531411,0.505134017,0.5235988,0,1,0
2017-06-25 00:28:16.791,1.8657202895,-2.5232729150000002,-1.534249585,-0.2139563699,-0.9875319005,0.4350996275,-0.418069065,-0.759666545,0.163262045,0.470531352,0.5235988,0,1,0
2017-06-25 00:28:16.841,0.0023950251000000255,-0.290635639,-4.6683722949999993,0.999563273,1.16347758775,1.192704266,-0.426488838,-0.751436496,0.181615859,0.469331146,0.5235988,0,1,0
2017-06-25 00:28:16.891,5.07600461,-7.7148372150000002,-2.6348808630000002,1.6983951155,3.732231735,1.189935997,-0.451851096,-0.702258704,0.188467962,0.515965657,0.5235988,0,1,0
2017-06-25 00:28:16.941,12.624268245,-15.417938909999998,-3.2333962933499998,0.9378092585,2.1591546075,0.229128693,-0.457193236,-0.64071766,0.185501576,0.588008894,0.5235988,0,1,0
2017-06-25 00:28:16.991,2.1195923725000001,-3.1738800349999998,-0.55660256234999994,1.1081119095,0.883188891,0.7707007675,-0.457093199,-0.614022733,0.192092149,0.614011071,0.5235988,0,1,0
2017-06-25 00:28:17.041,2.5865014530000003,-10.592812625000001,-0.39517823699999999,1.1872209545,1.595383045,1.18748714,-0.458510706,-0.577456261,0.213175967,0.640757435,0.5235988,0,1,0
2017-06-25 00:28:17.091,6.8558634399999985,-11.441966770000001,-0.27854078449999997,0.6101403285,1.377167765,1.174231305,-0.469454429,-0.532806698,0.226901453,0.66637919,0.5235988,0,1,0
2017-06-25 00:28:17.141,4.4112668700000004,-7.1765566099999987,0.77107657083500003,0.4904653015,0.8294735495,1.29752639,-0.482461938,-0.49596978,0.240362845,0.680684103,0.5235988,0,1,0
2017-06-25 00:28:17.191,4.5280241399999994,-8.0879812799999993,-0.027303219,0.404542037,0.3277221745,1.215010255,-0.494034623,-0.470252349,0.259922327,0.683496286,0.5235988,0,1,0
2017-06-25 00:28:17.241,3.9048400050000005,-7.0230358900000001,-0.10358460280000001,0.247229007,-0.01384141738,0.9380754335,-0.501688341,-0.454010244,0.279124013,0.681340041,0.5235988,0,1,0
2017-06-25 00:28:17.291,3.2356715350000003,-6.9307078049999999,0.57552321299999998,0.3422024235,0.089490087625,0.736736051,-0.506901066,-0.440310703,0.295714127,0.679482406,0.5235988,0,1,0
2017-06-25 00:28:17.341,4.6289742249999994,-8.242100930000003,0.77299258000000004,0.4160942975,0.1489017094,0.588100519,-0.506830995,-0.429888514,0.307469938,0.681008282,0.5235988,0,1,0
2017-06-25 00:28:17.391,5.34915655,-9.8375432749999998,1.474374077,0.4818410305,-0.085071482015,0.7173580615,-0.505448015,-0.419525631,0.318449296,0.683425946,0.5235988,0,1,0
2017-06-25 00:28:17.441,5.1222285000000003,-11.600996024999999,-0.2937491632,0.378403052,-0.869241008,0.7242787765,-0.501659285,-0.414300462,0.341657869,0.678150802,0.5235988,0,1,0
2017-06-25 00:28:17.491,4.5269463450000007,-13.380256225,-3.1911241850000005,-0.20857950905,-0.8828694745,0.3746232835,-0.496658888,-0.421620424,0.365553597,0.664744539,0.5235988,0,1,0
2017-06-25 00:28:17.541,4.07189259,-12.430990249999997,-4.5208390449999998,-1.1453240455,-0.36152717092,-0.583628684,-0.5004197,-0.439734737,0.365413693,0.650071799,0.5235988,0,1,0
2017-06-25 00:28:17.591,6.8491574200000001,-11.938693799999999,-4.2330774799999995,-1.716708405,0.65246311115,-1.486408502,-0.512746313,-0.463545078,0.332554177,0.641367811,0.5235988,0,1,0
2017-06-25 00:28:17.641,2.5461453670000003,-10.434861,4.9506252415000001,-1.249347611,0.59965277565,-2.3302026,-0.522707367,-0.487496482,0.268105743,0.645629979,0.5235988,0,1,0
2017-06-25 00:28:17.691,-0.17615369035,-9.6206739750000025,-0.051253426000000116,-1.0869771215,-1.271493885,-1.63078514,-0.51523571,-0.517648458,0.235622239,0.641018258,0.5235988,0,1,0
2017-06-25 00:28:17.741,0.60067092650000009,-8.7715199300000002,-5.6063817500000006,-1.663951325,-1.403040595,-1.714419245,-0.509458433,-0.566905834,0.217184845,0.609499979,0.5235988,0,1,0
2017-06-25 00:28:17.791,1.7623562721052632,-6.8563109210526312,1.1052385508421054,-1.73135396316,-2.02448941579,-1.06287514368,-0.509064748,-0.617379299,0.190931821,0.568164215,0.5235988,0,1,0
2017-06-25 00:28:17.841,3.3485966950000003,-6.1762766849999995,-1.2346326115000001,-1.644466845,-1.516274015,-0.728111781,-0.509592312,-0.661878879,0.176485099,0.520387234,0.5235988,0,1,0
2017-06-25 00:28:17.891,1.529699038,-4.3037304699999996,-0.98459257,-1.008560184,-1.155332455,-0.5506222185,-0.510415467,-0.692206138,0.161001182,0.484011256,0.5235988,0,1,0
2017-06-25 00:28:17.941,-0.32632142775,-1.9212847485000002,-1.8629660344999999,0.18888210858,-0.76457859435,0.15933600765,-0.507174376,-0.709866201,0.163730499,0.460446159,0.5235988,0,1,0
2017-06-25 00:28:17.991,-0.27207421180000002,-2.6885292635000004,-6.2129204800000002,1.3129649015,2.45179412,1.0827714665,-0.512568071,-0.688913651,0.176698791,0.480558383,0.5235988,0,1,0
2017-06-25 00:28:18.041,9.3269249400000014,-13.638558975,-1.1560759517999999,1.458619186,2.930707165,0.684883973,-0.522051682,-0.631102357,0.175578158,0.545623439,0.5235988,0,1,0
2017-06-25 00:28:18.091,7.9133844199999981,-10.520842244999999,-2.6526039710000004,0.7645785915,0.746744458,0.434194612,-0.522639946,-0.594843214,0.172939978,0.585700603,0.5235988,0,1,0
2017-06-25 00:28:18.141,0.88651649734999993,-5.1255815350000002,-0.7267687075,1.1449513835,1.287358293,0.9928022775,-0.522066982,-0.569045092,0.184055016,0.607903954,0.5235988,0,1,0
2017-06-25 00:28:18.191,6.3707521399999996,-12.452904524999997,-0.70377652161499993,0.9675150565,1.0975711545,1.1267445955,-0.526673854,-0.52734486,0.200454197,0.635742478,0.5235988,0,1,0
2017-06-25 00:28:18.241,5.2531163200000011,-7.84213263,-0.79897855150000008,0.5845869355,1.086125355,1.0772349315,-0.533262932,-0.493260217,0.212348613,0.653522704,0.5235988,0,1,0
2017-06-25 00:28:18.291,3.5145715450000004,-7.4289916749999989,0.09580078726500002,0.610938853,0.33858236055,1.143726945,-0.540984362,-0.463154092,0.227990975,0.663889704,0.5235988,0,1,0
2017-06-25 00:28:18.341,5.5831500600000004,-6.620672540000001,0.56821840714999994,0.7046878405,-0.034710015735,0.8125976735,-0.542034905,-0.443967934,0.249851196,0.668287114,0.5235988,0,1,0
2017-06-25 00:28:18.391,3.6595899950000002,-7.4339014250000002,0.31278956485000003,0.86029732,-0.274698895,0.5839480985,-0.534803317,-0.432456381,0.272089067,0.672959324,0.5235988,0,1,0
2017-06-25 00:28:18.441,2.6378746350000002,-8.0412784300000002,-0.138551886865,0.8583275835,-0.27911750338,0.5544552355,-0.523981341,-0.424313331,0.29491728,0.677027711,0.5235988,0,1,0
2017-06-25 00:28:18.491,3.4009278799999998,-9.2850119999999983,0.69683095499999992,0.7851810125,0.2474951885,0.6019419405,-0.51580128,-0.411444379,0.312704444,0.683251776,0.5235988,0,1,0
2017-06-25 00:28:18.541,4.1270978449999998,-10.900811900000003,0.34021253824999997,0.4551696855,0.139798313,0.7349260135,-0.51358979,-0.393467553,0.326798137,0.688891397,0.5235988,0,1,0
2017-06-25 00:28:18.591,4.6348419950000004,-11.80337535,-1.1202704330000002,0.06718410975,-0.4524013975,0.5847998775,-0.514212718,-0.385604474,0.343883875,0.684549232,0.5235988,0,1,0
2017-06-25 00:28:18.641,3.7286863250000004,-13.109619050000001,-3.59492447,-0.740186264286,-0.484297497619,-0.149264219667,-0.516950563,-0.393328951,0.352218777,0.67376168,0.5235988,0,1,0
2017-06-25 00:28:18.691,5.142449323809525,-12.202396928571428,-4.1907140666666667,-1.63940943,-0.069047377125,-0.9219980945,-0.529006023,-0.416130237,0.334909152,0.659275087,0.5235988,0,1,0
2017-06-25 00:28:18.741,8.1060069105263146,-11.213860052631579,-2.4640970252631584,-1.93768634211,0.623984540158,-1.76357586842,-0.546144794,-0.44518988,0.292955439,0.64600771,0.5235988,0,1,0
2017-06-25 00:28:18.791,0.41757167153499986,-10.173564449999999,6.0529332050000004,-0.465923404,1.5605133415,-2.181673535,-0.548871343,-0.459235835,0.226846286,0.660329359,0.5235988,0,1,0
2017-06-25 00:28:18.841,0.76520878540000004,-8.5888995999999995,-2.1301304634999996,-1.3868567615,-2.045388822,-1.366094655,-0.546425787,-0.482692513,0.203141206,0.653147256,0.5235988,0,1,0
2017-06-25 00:28:18.891,2.6515262199999996,-8.5051936099999992,-2.8444451199999996,-1.238966535,-1.74880984,-1.83361514,-0.544312776,-0.54276531,0.190343921,0.610317041,0.5235988,0,1,0
2017-06-25 00:28:18.941,2.2726455476190472,-6.2234014761904763,0.31044017142857139,-1.31508675714,-0.94136847381,-1.30144812381,-0.53691944,-0.589977414,0.167154069,0.579217331,0.5235988,0,1,0
2017-06-25 00:28:18.991,3.820056310526315,-6.2246560526315795,-1.2059554310526317,-0.883497087368,-1.15898053684,-1.37052445789,-0.528766092,-0.626812306,0.145929235,0.553176019,0.5235988,0,1,0
2017-06-25 00:28:19.041,2.3287973550000003,-3.5558856949999997,-1.3349839355000002,-0.28412170375,-1.334525554,-0.6930823515,-0.515240246,-0.658910678,0.136420016,0.530684549,0.5235988,0,1,0
2017-06-25 00:28:19.091,1.6390316885,-1.685495075,-1.901166602,0.720126362,-0.3522640652,0.2848670147,-0.505521238,-0.675444404,0.151858293,0.514891541,0.5235988,0,1,0
2017-06-25 00:28:19.141,1.539541377904762,-4.8119365966666674,-4.8113663876190476,1.229437275,1.806943805,1.2106448815,-0.509585325,-0.647593861,0.168528468,0.540559205,0.5235988,0,1,0
2017-06-25 00:28:19.191,10.596197115789472,-13.628039921052633,0.27177173631578966,1.477251881,2.178798782,0.81414152,-0.515011644,-0.596846511,0.177562993,0.588695768,0.5235988,0,1,0
2017-06-25 00:28:19.241,4.865003419999999,-9.6125309600000008,-1.9687061499999998,0.884839223,0.635480748,0.858806713,-0.514984689,-0.563977068,0.188906705,0.617202004,0.5235988,0,1,0
2017-06-25 00:28:19.291,0.70698699428571432,-8.0436163285714279,-1.2960477733333331,0.9667697595,1.4792216185,1.1648085,-0.52038266,-0.530365913,0.206982551,0.636226253,0.5235988,0,1,0
2017-06-25 00:28:19.341,3.4123987789473684,-9.773697026315789,-0.18302992378947369,0.5684563625,2.102351565,1.2737298,-0.536485632,-0.474815479,0.217528701,0.662630996,0.5235988,0,1,0
2017-06-25 00:28:19.391,6.7309630949999999,-7.9270359799999994,1.7226178750000003,0.1667890796,1.112051399,1.47980721,-0.550867666,-0.427584527,0.218178599,0.682618345,0.5235988,0,1,0
2017-06-25 00:28:19.441,5.7312819550000009,-7.321455294999998,1.0888956625000001,0.4391455815,0.1253712998,1.175562225,-0.559690672,-0.399360108,0.234776082,0.687066284,0.5235988,0,1,0
2017-06-25 00:28:19.491,3.5640287199999996,-6.9043625649999996,0.43924660069999993,0.5651557225,-0.196974014,0.722841406,-0.559653612,-0.384005754,0.257032161,0.687908333,0.5235988,0,1,0
2017-06-25 00:28:19.541,3.3186589600000005,-7.4410865349999993,0.68246083999999996,0.590655864,-0.4692772795,0.5951809455,-0.553689602,-0.376948485,0.278146291,0.688422007,0.5235988,0,1,0
2017-06-25 00:28:19.591,3.0268257950000002,-8.681586965000001,-0.29470716599999996,0.6870134245,-0.348377823,0.5030290425,-0.544705545,-0.373644021,0.299038714,0.688646498,0.5235988,0,1,0
2017-06-25 00:28:19.641,3.2901582300000003,-10.317145849999999,-0.033889527499999982,0.4369629005,-0.02534044084,0.4151892835,-0.538503403,-0.367956221,0.312210699,0.690744742,0.5235988,0,1,0
2017-06-25 00:28:19.691,2.6521249849999995,-10.003757475,1.8775756300000002,0.284920249,-0.04961615757,0.6107259205,-0.537029081,-0.359425957,0.323835558,0.691028136,0.5235988,0,1,0
2017-06-25 00:28:19.741,4.4476712349999996,-11.891990999999999,1.0547666415000001,0.291521545,-0.33453641025,0.710277655,-0.536824223,-0.350130406,0.340492015,0.687936907,0.5235988,0,1,0
2017-06-25 00:28:19.791,4.8784154900000001,-13.084471275000002,-1.9649938985000002,0.0078789625,-0.7445085415,0.387772633135,-0.53316257,-0.350487799,0.360501094,0.680363914,0.5235988,0,1,0
2017-06-25 00:28:19.841,3.5522930750000001,-12.676599575000001,-4.7471684549999988,-1.1854109145,-0.7585629075,-0.5257609035,-0.535317915,-0.368441293,0.364404474,0.666912916,0.5235988,0,1,0
2017-06-25 00:28:19.891,7.2387073149999992,-11.010024925,-3.6228264699999997,-1.789322605,-0.52043729,-1.19717611,-0.545773026,-0.405414611,0.344086725,0.647396949,0.5235988,0,1,0
2017-06-25 00:28:19.941,4.3883944474999996,-10.916259875000002,2.9670700499999998,-1.5764842035,1.01851535547,-2.0606676,-0.559899785,-0.439670415,0.296633384,0.636218653,0.5235988,0,1,0
2017-06-25 00:28:19.991,-0.50894167575000004,-8.6063833350000021,2.0586391224999998,-0.618072513,-0.21097513565,-2.004290445,-0.553779306,-0.462156849,0.247249315,0.646876009,0.5235988,0,1,0
2017-06-25 00:28:20.041,1.3117522509999999,-9.0150935149999984,-2.1365970041500004,-1.0415133995,-1.76238506,-1.754665835,-0.542264258,-0.506535826,0.225849026,0.630838538,0.5235988,0,1,0
2017-06-25 00:28:20.091,1.78345138,-6.9954931649999992,-2.2207819514999998,-1.216234695,-0.8408128595,-1.752216955,-0.534449618,-0.557704256,0.203998587,0.60119257,0.5235988,0,1,0
2017-06-25 00:28:20.141,2.9150981299999996,-6.1838209150000001,-0.067659308349999975,-1.30162559,-1.005845139,-1.339955655,-0.528715886,-0.595532706,0.174529028,0.578884278,0.5235988,0,1,0
2017-06-25 00:28:20.191,4.3163043099999996,-6.4466743300000005,-1.4724580834999998,-1.20441625,-1.477092175,-1.19919907,-0.521330436,-0.636090089,0.153639118,0.547478736,0.5235988,0,1,0
