,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rotation_phone_x,rotation_phone_y,rotation_phone_z,rotation_phone_theta,rotation_phone_phi,labelstairsdown,labelstairsup,labelwalking,acc_phone_x_kalman,acc_phone_y_kalman,acc_phone_z_kalman,gyr_phone_x_kalman,gyr_phone_y_kalman,gyr_phone_z_kalman,rotation_phone_x_kalman,rotation_phone_y_kalman,rotation_phone_z_kalman,rotation_phone_theta_kalman,rotation_phone_phi_kalman
2017-06-25 00:25:56.941,0.29602442595,-7.9032055825,-1.42294104138,-2.385035885,-1.61412220825,-1.25520359275,-0.3060423025,0.7489150545,-0.578946011,0.0899497752,0.5235988,0,1,0,0.400195424303,-9.77648076333,-0.82890646858,-2.16526153433,-1.01933516886,-1.31982370331,-0.273687889319,0.730609898979,-0.608433239168,0.109660051364,0.523598790169
2017-06-25 00:25:57.041,0.445653279783,-5.063610385,-2.0000210235,-2.066204165,-1.3226272715,-0.47217865705,-0.391723688,0.789059822,-0.463103968,0.0900026991,0.5235988,0,1,0,0.418934743905,-7.57778250952,-1.3808008068,-2.09075220335,-1.21790153902,-0.71001808918,-0.353312767361,0.770585731937,-0.508635617505,0.096467729475,0.523598790169
2017-06-25 00:25:57.141,0.885678265425,-3.3636853325,-3.4420623425,-0.58881921974,-0.25029009224,-0.0939885463,-0.4250660735,0.8118876505,-0.390044747,0.08895924075,0.5235988,0,1,0,0.611342734435,-5.61177716434,-2.35218198157,-0.961023870819,-0.584403111312,-0.266839330832,-0.401716293327,0.798833460706,-0.427199252226,0.0914286771995,0.523598790169
2017-06-25 00:25:57.241,3.7829334845,-2.871209425,-6.554869365,1.26984356475,0.57806549905,0.0726674451,-0.4279056875,0.8063202885,-0.3990166855,0.08515406095,0.5235988,0,1,0,1.91878319994,-4.33321838226,-4.33272209364,0.716996498586,0.176668961488,-0.0225942428642,-0.419383192399,0.803953964351,-0.407846274996,0.0872176968686,0.523598790169
2017-06-25 00:25:57.341,1.61352473225,-10.6438864322,-7.01680864825,1.30761466025,1.06062520422,0.5551206861,-0.386731335,0.787501135,-0.4726258305,0.07951347695,0.5235988,0,1,0,1.79294497544,-7.27733831328,-5.5976129996,1.16124940398,0.755398045707,0.393020554319,-0.397356817643,0.792701344698,-0.452330398397,0.0820472864446,0.523598790169
2017-06-25 00:25:57.441,0.93962608235,-9.84197399425,-1.90326223075,1.89318647,1.9434148425,0.42658183525,-0.324550605,0.7607692035,-0.556361345,0.0688725,0.5235988,0,1,0,1.4411771332,-8.47381950701,-3.8566293156,1.71179994109,1.53319656788,0.41716492294,-0.348243022175,0.770861886715,-0.523768444434,0.0732055013634,0.523598790169
2017-06-25 00:25:57.541,0.297581189785,-7.7673480675,-0.868374246,1.6298534975,2.3961090225,0.746877553,-0.234142849,0.7184344285,-0.653054213,0.0243592501,0.5235988,0,1,0,0.969746949527,-8.14422905294,-2.44839720295,1.65016121881,2.09814827325,0.654363990075,-0.271273054821,0.735005030542,-0.612549015586,0.0404241018856,0.523598790169
2017-06-25 00:25:57.641,1.54574567548,-9.626601825,1.937211636,1.27084413077,2.03313221385,1.69990076538,-0.1005523668,0.677745797,-0.726619532,0.01609947015,0.5235988,0,1,0,1.20719376286,-8.83580150143,-0.381654232269,1.36484536606,2.0555821091,1.40653519032,-0.156107878368,0.695843561736,-0.690881260959,0.0240995023804,0.523598790169
2017-06-25 00:25:57.741,1.44240056413,-9.134245675,1.1877501135,0.833185804634,1.01322810341,0.482787596098,-0.0214632632175,0.63971956,-0.76794818,0.0113648410725,0.5235988,0,1,0,1.30415422492,-8.97503493845,0.357936437045,0.964940120569,1.37314944814,0.741980527157,-0.06527898803,0.657458490722,-0.74380310432,0.0155530936542,0.523598790169
2017-06-25 00:25:57.841,0.3987108995,-8.6879337,2.2348527,0.5602313625,1.422737985,0.440343397,-0.0412453733,-0.613511031,0.788173462,0.012899515642,0.5235988,0,1,0,0.930898867883,-8.84109352359,1.2424438854,0.660525128173,1.40561520907,0.524979306246,-0.0490663350058,-0.211799604486,0.308205389854,0.013772240199,0.523598790169
