,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,rot_phone_x,rot_phone_y,rot_phone_z,rot_phone_theta,rot_phone_phi,labelstairsdown,labelstairsup,labelstanding,labelwalking,labelsitting,labelondesk
2017-06-21 01:57:23.795,2.0514301144,-8.81515715825,-2.94800571868,-0.238056405661,-0.172748873149,0.047747566671,-0.325873967,-0.73248512595,0.50367332285,0.31011182145,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:24.795,1.71481010916,-9.34022927925,-2.83135030299,-0.0507341185433,-0.046491192833,0.056779092046,-0.3022189507,-0.7243609393,0.53447440975,0.3079216055,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:25.795,1.842045524,-8.29655757625,-2.15905032574,0.388491316545,-0.21157937028,-0.429837227458,-0.212037919765,-0.7407204013,0.58128456865,0.24225452685,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:26.795,3.62990135736,-8.05014720546,-4.07116124081,0.200920703568,-0.741269668391,0.0157520527303,-0.0206650626625,-0.78184375765,0.45675094885,0.1777942331,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:27.795,-5.34377978018,-6.6337014364,2.07390138833,0.641248902589,-1.67879887665,1.17398908731,-0.0903287484162,0.62012508395,-0.5332493458,0.48819125167,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:28.795,-1.44787319405,5.419049271,7.26094511507,,0.0653847272498,0.575390377718,0.31969138739,-0.00773028170434,-0.234962592465,0.90326880595,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:29.795,-0.683826009737,8.50773843225,5.2056889467,0.0749326408095,0.446965981434,0.127386289669,0.4686716784,0.0587938128477,0.017491010497,0.8779793021,0.5235988,1,0,0,0,0,0
2017-06-21 01:57:30.795,-6.5968420503,4.3216605247,4.26037704927,-0.154689245249,0.926290814067,,0.136763374387,-0.190469505144,-0.31850082309,0.274867638514,0.5235988,1,1,0,0,0,0
2017-06-21 01:57:31.795,-6.42420307036,-5.22135837743,-3.04826124697,-0.682160941485,0.356648076492,-1.15442743916,-0.71306939345,-0.28668917526,0.55049203285,0.203677782975,0.5235988,0,1,0,0,0,0
2017-06-21 01:57:32.795,-0.924962569811,-7.35981149725,-4.54978888294,0.618916308535,-0.469021746714,-0.383314093544,-0.52764982625,-0.68169520735,0.4048238914,0.2619212326,0.5235988,0,1,0,0,0,0
